ID,Plant latin name,Family name,Common name,Crude drug latin name,Cultured tissue and efficient propagation,Plant culture and efficient production method,Sakuyo hyohon,Class of Coldness,Class of Warmness,Light condition,Preference of Soil,Requirement of Shading
94,Magnolia obovata Thunb.,Magnoliaceae,Japanese umbrella tree,MAGNOLIAE CORTEX,"Magnolia_obovata-Ref-1, Magnolia_obovata-Ref-2",,,II～IV,55〜140,I～III,,
112,Magnolia salicifolia Maximowicz,Magnoliaceae,,MAGNOLIAE FLOS,,,,,,,,
115,Magnolia sprengeri Pampanini,Magnoliaceae,,MAGNOLIAE FLOS,,,,,,,,
1,Mallotus japonicus (Thunb.) Müll. Arg.,Euphorbiaceae,Japanese mallotus,MALLOTI CORTEX,,,,Ⅳ～Ⅵ,100以上,Ⅱ以上,,
144,Manihot esculenta Crantz,Euphorbiaceae,Cassava,KOI,,,,,,,,
80,Matricaria chamomilla L.,Compositae,German chamomile,CHAMOMILLAE FLOS,,Plant culture,,Ｉ～Ｖ,55～170,II～IV,,
191,Mentha arvensis Linné var. piperascens Malinvaud,Labiatae,Japanese Peppermint,MENTHAE HERBA,,,,,,,,
184,Myristica fragrans Houttuyn,Myristicaceae,Nutmeg,MYRISTICAE SEMEN,,,,,,,,
117,Notopterygium forbesii Boissieu,Umbelliferae,,NOTOPTERYGII RHIZOMA,,,,,,,,
110,Notopterygium incisum Ting ex H. T. Chang,Umbelliferae,,NOTOPTERYGII RHIZOMA,Notopterygium_incisum-Ref-1,,,,,,,
181,Ophiopogon japonicus Ker-Gawler,Liliaceae,,OPHIOPOGONIS TUBER,Ophiopogon_japonicus-Ref-1,,,,,,,
147,Oryza sativa Linné,Gramineae,Rice,"KOI, ORYZAE FRUCTUS",Oryza_sativa-Ref-1,,,,,,,
40,Paeonia lactiflora Pallas,Paeoniaceae,Chinese peony,PAEONIAE RADIX,"Paeonia_lactiflora-Ref-1, Paeonia_lactiflora-Ref-2, Paeonia_lactiflora-Ref-3, Paeonia_lactiflora-Ref-4, Paeonia_lactiflora-Ref-5, Paeonia_lactiflora-Ref-6, Paeonia_lactiflora-Ref-7, Paeonia_lactiflora-Ref-8, Paeonia_lactiflora-Ref-9, Paeonia_lactiflora-Ref-10",Plant culture,Herbarium,I～IV,45～100,II～IV,,
60,Paeonia suffruticosa Andrews,Paeoniaceae,,MOUTAN CORTEX,Paeonia_suffruticosa-Ref-1,,,I〜IV,45〜110,II〜IV,,
53,Panax ginseng C. A. Mey.,Araliaceae,Ginseng,"GINSENG RADIX, GINSENG RADIX RUBRA","Panax_ginseng-Ref-1, Panax_ginseng-Ref-2, Panax_ginseng-Ref-3, Panax_ginseng-Ref-4, Panax_ginseng-Ref-5, Panax_ginseng-Ref-6, Panax_ginseng-Ref-7, Panax_ginseng-Ref-8, Panax_ginseng-Ref-9, Panax_ginseng-Ref-10, Panax_ginseng-Ref-11, Panax_ginseng-Ref-12, Panax_ginseng-Ref-13",Plant culture,Herbarium,II～IV,75～120,II～IV,,
97,Panax japonicus C. A. Mey.,Araliaceae,Japanese ginseng,PANACIS JAPONICI RHIZOMA,,,,Ⅱ～Ⅴ,55～140,Ⅱ～Ⅳ,,
86,Papaver bracteatum Lindl.,Papaveraceae,Iranian poppy,,,,,Ｉ～IＶ,45〜110,II～IV,,
89,Papaver nudicaule L.,Papaveraceae,Iceland poppy,,,,,Ｉ～IＶ,45〜130,II～IV,,
87,Papaver orientale L.,Papaveraceae,Oriental poppy,,,,,Ｉ～IＶ,45〜110,II～IV,,
88,Papaver pseudo-orientale (Fedde) Medv.,Papaveraceae,Oriental poppy,,,,,Ｉ～IＶ,45〜110,I〜IV,,
90,Papaver rhoeas L.,Papaveraceae,Corn poppy,,,,,Ｉ～Ｖ,45〜170,II～IV,,
85,Papaver setigerum DC.,Papaveraceae,Opium poppy,,,,,Ｉ～Ｖ,55～170,II～IV,,
84,Papaver somniferum L.,Papaveraceae,Opium poppy,OPIUM,,,,Ｉ～Ｖ,55～170,II～IV,,
102,Patrinia scabiosaefolia Fisch.,Valerianaceae,Japanese valerian,PATRINIAE RADIX,,Plant culture,,Ⅰ～Ⅵ,45以上,Ⅰ～Ⅴ,,
