Plant ID,Plant latin name,Tissue literature ID,Tissue literature name,Detail page ID,Literature code,Reference,Summary,Objectives,Materials,Explant,Initial culture,Shoot multiplication,Rooting,Acclimation,Planting,Cultivation conditions,Traints of regenerants,Ingredients analyzed,Extraction,Analitical methods,Notes,Original code,Publication,Explant sterilization,Traints of regenerant,Ingredients produced
32,Gardenia jasminoides Ellis,98,Gardenia_jasminoides-Ref-2,98,Gardenia_jasminoides-Ref-2,"P.S. George, et al., Plant Cell Reports 13: 59-62 (1993)",An efficient clonal multiplication system was developed for in vitro propagation of crocin -producing Gardenia jasminoides Ellis plants. MS medium containing BAP 1 mg/l and IBA 1 mg/l resulted in multiple shoot initiation at the rate of 21 shoots per explant in 60 d of culture. Transfer of the microshoots into liquid MS medium supplemented with BAP (5 mg/l) with two subcultures of 15 d duration in the same medium resulted in 400土 25 shoots per explant. Efficient rooting was achieved in MS medium supplemented with NAA (5 mg /1). The in vitro raised plants were hardened in a greenhouse and transplanted to the field successfully. The method described will be useful for rapid multiplication of Gardenia for commercial exploitation.,This communication presents a highly efficient method for clonal multiplication of elite plants of G. jasminoides by axillary bud culture,Stem cuttings of Gardenia jasminoides Ellis were collected from 15 year old field grown plants from Wayanad，Kerala，India.,The shoot tips，1.5 cm long，with two axil1ary buds，were excised and the terminal bud was removed. The explants were washed thoroughly in running tap water for 30 min.，surface sterilised with 0.15% (w/v) mercuric chloride for 6 min. and washed with sterile distilled water 3 times.,MS medium containing BAP 1 mg/l and IBA 1 mg/l resulted in multiple shoot initiation at the rate of 21 shoots per explant in 60 d of culture.,Transfer of the microshoots into liquid MS medium supplemented with BAP (5 mg/l) with two subcultures of 15 d duration in the same medium resulted in 400土 25 shoots per explant.,Efficient rooting was achieved in MS medium supplemented with NAA (5 mg/l).,The rooted plantlets established well upon transfer to pots in a greenhouse.,Subsequent transfer of potted plants to the field was successful.,,,,,,,,,,,
32,Gardenia jasminoides Ellis,99,Gardenia_jasminoides-Ref-3,99,Gardenia_jasminoides-Ref-3,"Chuenboonngarm, N, et al., ScienceAsia 27: 137-141 (2001)","Shoot tips of Gardenia jasminoides Ellis were successfully propagated in B5 agar medium with BA (0, 2.5, 5, 7.5 and 10 mg/l) and 2iP (0, 2.5, 5, 7.5 and 10 mg/l) concentrations. The number of shoots in medium with 10 mg/l BA was 7 times greater than those in medium without BA. The BA induced plantlets had 100% survival rate and normal growth rate ex-vitro. The number of shoots in medium with 7.5 mg/l 2iP was 4 times greater than in 2iP free medium. All explants receiving 2iP gave chimeric plants showing different degrees of white leaf tissue. This is the first report of somaclonal variation induced by 2iP in G. jasminoides. Chimeric plants had 70% survival rate and showed slow growth ex-vitro.",This investigation was to evaluate the use of standard medium B5 in G. jasminoides tissue culture.,"Young shoots of Gardenia jasminoides Ellis, 5 cm in length, were obtained from 5 plants grown in natural condition, one from Suan Luang Rama IX Botanic Garden, Bangkok, Thailand, the others from Faculty of Science, Mahidol University, Bangkok, Thailand.","Shoot tips collected from the same mother plant were divided for two different cytokinin treatments each time cultures were initiated. After leaf removal, selected shoots were washed with mild detergent and rinsed in tap water for 10 min. The shoots were then soaked in 15% (v/v) Clorox in 0.25% (v/v) Tween-20 solution. After 10 min, the shoots were soaked for 10 min in 10% (v/v) Clorox in 0.25% (v/v) Tween-20 solution, followed by five 5-min rinses in sterile distilled water. Excised shoot tips, 0.5-1.0 cm in length, were used as explants.",B5 agar medium with 10 mg/l BA,B5 agar medium with 7.5 mg/l 2iP,Root induction was achieved by transferring new shoots to B5 agar medium with no plant growth regulator.,Plantlets with roots were transplanted to damp vermiculite in containers with clear lids under the same environment as those in cultures. Plantlets were acclimatized to normal environment by replacing the container lids with colorless transparent plastic sheets with 1 mm pinholes for 1 month.,Plantlets were then potted and kept in greenhouse under 50% natural light. All were transferred outdoors after 2 months.,,,,,,,,,,,
121,Gastrodia elata Blume,66,Gastrodia_elata-Ref-1,66,Gastrodia_elata-Ref-1,"Cai YP et al, Chinese Traditional & Herbal Drugs 32: 445-447 (2001)",The protocom of G. elata may be induced from the stem tuber and stem bud. By subdividing these rosette protocoms a virtually indefinite clonal propagation can be achieved.,"To develop new method for its the culturing of Gastrodia B1. in vitro, which may provide the orientical basis of clonal propagation for its rapid reproduction.",,,,,,,,,,,,,,,,,,
137,Gentiana scabra Bunge，Gentiana manshurica Kitagawa,90,Gentiana_scabra-Ref-2,90,Gentiana_scabra-Ref-2,"Hosokawa K et al., Plant Cell Reports 15: 578-581 (1996)","Several culture conditions were examined for promoting efficient plant regeneration from explants of Gentiana. Adventitious shoot regeneration from leaf explants of cv.WSP-3 was very superior on MS medium, compared to B5medium, supplemented with four cytokinins (TDZ, 4PU-30,BA and zeatin). An auxin / cytokinin combination was required for regeneration. TDZ was the most effective cytokinin, while NAA was more effective than IAA or 2,4-D.Optimum conditions for regeneration from explants (leaf,stem and root) of cv. WSP-3, evaluated in terms of regeneration frequency and number of regenerated shoots per explant, were TDZ and NAA in combination, 5 - 10 mg/1 and 0.1 mg/l for leaf and stem explants, and 10 mg/l and 1 mg/l for root explants, respectively. Application of these conditions to eight other commercial cultivars resulted in 30-100% regeneration from leaf explants. The number of chromosomes in each of ten regenerated plants of each cultivar was diploid, 2n=26. Shoots regenerated in vitro were rooted in phytohormone-free medium and transferred to soil.","Adventitious shoot regeneration from leaf, stem and root explants","Seeds of five Gentiana triflora cultivars (F1 hybrid) Homoi, Ihatovo, Iwate, lwate-otome and Maciry; an interspecific hybrid cultivar (F1 hybrid, G. triflora x G. scabra ) Albireo; and three in vitro shoot cultures of interspecific hybrid cultivars (clonal variety, G. triflora x G. scabra) H-3, Polarno white and WSP-3, were obtained from Iwate Horticullural Experiment Station. The in vitro shoot culture of cv. WSP-3 was used mainly to establish optimal conditions for adventitious shoot regeneration","Seeds, leaf (approximately 5 mm square), stem and root explants (approximately 5 mm in length) from in vitro cultures from the seedling or shoot cultures",Seeds were surface-disinfected with 1% sodium hypochlorite solution for 5 min followed by two rinsings in sterilized distilled water. The disinfected seeds were germinated on MS medium supplemented with 30 g/l sucrose and 2 g/l gellan gum. All axillary buds were cultured on the same medium. Plantlets from the seedlings or in vitro shoot cultures were routinely subcultured at 20℃ for 16 h daytime under fluorescent lamps (50 µmol m-2 s-l). Subcultures were made once every two months by transferring terminal and lateral cuttings into the same medium.,"Adventitious shoot regeneration from leaf explants of cv.WSP-3 was more frequent on MS medium than B5 medium in all cases. TDZ (1-10 mg/L) in combination with NAA (0.1 mg/L) proved to be optimal for regeneration, followed by 4PU-30, BA and zeatin. The presence of an auxin was required, as no regeneration was obtained with cytokinin alone. In order to establish optimum conditions for regeneration, TDZ was used in combination with three auxins. NAA was the most effective for regeneration from leaf explants at 0.1 mg/L when combined with 5-10 mg/L TDZ (regeneration frequency, 100%). Although 100% regeneration frequency was also attained on MS medium containing 20 mg/L TDZ along with 0.1 mg/L NAA and 1 mg/L IAA, some of the shoots were vitreous, which hindered subsequent rooting and acclimation. 2,4-D was the least suitable. Regeneration from stem and root explants was greatest at 5-10 mg/L TDZ in combination with 0.1 mg/L NAA, and at 10 mg/L TDZ in combination with 1 mg/L NAA, respectively. For root explants, only five adventitious shoots per explant were formed which is less than under the optimum conditions for leaf and stem explants. Leaf and stem explants were found to be most suitable for shoot regeneration. Adventitious shoot regeneration from the leaf explants of nine commercial cultivars on MS medium containing TDZ and NAA was assessed. Cultivars Albireo, H3, Polarno white and WSP-3 that were bred from G. scabra as pollen parents showed higher regeneration (80 and 100%), whereas G. triflora cultivars Homo• Ihatovo, Iwate, Iwate-otome and Maciry showed less regeneration (30 to 75%). A comparison of mean numbers of regenerated shoots indicated cv. WSP-3 and Polarno white to have the highest value for this parameter (8-10 shoots per explant).","Regenerated shoots were transferred to MS medium containing 30 g/L sucrose and 2 g/L gellan gum for rooting. Shoots produced in culture were easily rooted in phytohormone-free medium in four weeks, and then acclimatized.",The regenerated plants with a well-established root system were carefully rinsed to remove gellan gum and transferred to pots containing vermiculite. Plants in the pots were then transferred to a greenhouse following completion of acclimatization.,,,"Each of twenty regenerated plants grown in a greenhouse were phenotypically normal with respect to leaf shape and growth features during early growth stages. The number of chromosomes was counted in the root tip cells of ten regenerated plants of each cultivar, and was found to be 2n=26, which corresponds to the diploid number for the species.",,,,"G. triflora, interspecific hybrid of G. triflora × G. scabra",,,,,
137,Gentiana scabra Bunge，Gentiana manshurica Kitagawa,97,Gentiana_scabra-Ref-1,97,Gentiana_scabra-Ref-1,"Huang S-H et al., Botanical Studies: 55:56 ( 2014)","In the present study, we report an efficient micropropagation system. Shoot apices of six weeks old in vitro grown G. scabra plants were used as explants for the in vitro propagation. Induction of multiple shoots (9.1/explant) was achieved on the culture of shoot apices on half strength Murashige and Skoog’s basal medium (MSBM) containing 2.0 mg/L 6-benzylaminopurine (BA), 3% sucrose and 0.9% Difco agar. In vitro shoots induced profuse rooting on half strength of MSBM supplemented with 0.1 mg/L 1-naphthaleneacetic acid (NAA), 3% sucrose and 0.3% gelrite. A two-stage ventilation closure procedure during the in vitro culture, and transparent sachet technique enhanced the survival rate of G. scabra plantlets to 96% in the greenhouse. Tissue culture plants flowered after 5 months of transfer to pots.",The main objective of the study was to develop a simple and an efficient in vitro propagation method of G. scabra with a high survival rate of plantlets.,"In vitro plants of G. scabra obtained from the Taiwan Sugar Corporation, Taiwan",,,"In our initial experiments on different strengths (1, 1/2 and 1/4) of MS medium, it was observed that 1/2 MS medium resulted in the better shoot/root growth in comparison to 1 or 1/4 strengths, hence, 1/2 MS medium was used for all the experiments. Between the two cytoknins, BA was more effective and induced a higher number of shoots per explant compared to Kin. The maximum average number of multiple shoots (9.1 shoots/explant) could be induced in shoot apices on 1/2 MS supplemented with 2.0 mg/L BA, 3% sucrose and 0.9% agar, followed by 8.8 shoots/explant on medium with 1.0 mg/L BA. There was an inverse correlation between concentrations of both BA and Kin and lengths of induced shoots. Average shoot elongation was higher (2.82 and 3.56 cm) at lower concentrations of BA (0.1 mg /L) and Kin (0.1 mg /L), respectively.","On culture of in vitro derived shoots on 1/2 MS medium supplemented with a range of concentrations of two auxins (NAA and 3-indolebutyric acid: IBA) for 8 weeks, it was observed that the lower concentrations of NAA or IBA resulted in a higher number as well as better root/shoot growth. NAA at 0.1 mg/L induced the greater number of roots (37.2) and fresh weight (1.55 g) in comparison to IBA at 0.1 mg/L which induced a lesser number of roots (25.8) and lesser fresh weight (1.20 g). Higher concentrations of IBA and NAA (1.0 mg/L) reduced the number and length of roots as compared to 0.1 mg/L concentration. In contrast to culture obtained from Taiwan Sugar Corporation, roots induced in the MS medium supplemented with NAA 0.1 mg/L were multifold and robust. A supplement of 1.0 mg/L NAA in the MS stimulated callus induction, a trait undesirable for health of roots/shoots and ex vitro survival of plantlets. Between the two sets of ventilation closure treatments, i.e. one-stage and two-stage with a total incubation period of 8 weeks, overall, all the root/shoot growth parameters including the plant survival percentage were higher with two-stage ventilation closure treatments. There were significant differences in root/shoot growth parameters among the treatments within the one-stage, and twostage ventilation closures itself. Among the one-stage ventilation closure treatments,the maximum number of roots (20.20), root length (4.58 cm), shoot length (2.23 cm), fresh weight (1.09 g) and plant survival percentage (94.44) was achieved with 2AF8wk, i.e. when culture vessels were closed with 2 layers of aluminum foil and incubation for 8 weeks. In contrast to aluminum foil, there was an overall decrease in root/shoot growth parameters when culture vessels were closed with 2, 3 and 4 dispense papers. Among the three DP treatments, the maximum number of roots (18), root length (3.78 cm), shoot length (1.51 cm), fresh weight (0.94 g) and plant survival percentage (91.67) was achieved with 4DP8wk, i.e. when culture vessels were closed with 4 layers of dispense paper and incubation for 8 weeks. There was no drastic difference in root/shoot growth parameters and plant survival percentage in the ventilation closure treatment 4H2AF8wk, i.e. 2AF with 4 holes punched in the center and covered with air permeable tape. Among the 4 two-stage ventilation closure treatments, the maximum number of roots (33.7), root length (5.89 cm), fresh weight (1.41 g) and plant survival (96%) were obtained with treatment 2AF4wk/4DP4wk, i.e. when culture vessels were closed with 2 AF for 4 weeks and then AF replaced by 4DP for the next 4 weeks.","After 8 weeks of incubation under the ventilation closure conditions, the plantlets were carefully taken out of culture vessels and rinsed gently with running tap water to remove traces of agar. The plantlets were then blotted dry on paper towel and their fresh weights, number of shoots and roots, length of roots and shoots were recorded. Thereafter, plantlets were briefly treated with 0.1% Benlate (a systemic fungicide) solution (DuPont, Wilmington, DE) and transplanted into plastic pots containing a mixture of peatmoss:perlite:vermiculite (2:1:1 v/v). For acclimatization, each potted plant was covered with a transparent polyethylene sachet. After one week, a small hole was made in a corner of each sachet, and another hole was made in the opposite corner after 2 weeks. The top corners on both sides of each sachet were cut open after 3 weeks, and sachets were completely removed after 4 weeks. Thereafter, these were shifted to the University’s greenhouse. The plants were irrigated every day with tap water. The plant survival against each ventilation closure treatment was recorded after 2 months. Between the one-stage and two-stage ventilation closure treatments, the overall survival percentages were higher (90–96) in the two-stage treatments. The maximum survival percentage (96) was recorded with the twostage treatment 2AF4wk/4DP4wk, i.e. culture vessel closed with 2 layers of aluminum foil for first 4 weeks and then AF replaced with 4 layers of disense paper. Covering of plants with transparent polyethylene sachets for the first 4 weeks and its gradual exposure to the ambient conditions was supportive of acclimatization process and gave rise to higher plantlet survival percentages. Tissue culture plants flowered in the greenhouse after 5 months of their transfer to pots.",,,,,,,,,,,,
138,Gentiana triflora Pallas,63,Gentiana_triflora-Ref-1,63,Gentiana_triflora-Ref-1,"Nakano et al., Tohoku Agric Res 46: 289-290 (1993)",,,,,,,,,,,,,,,,,,,,
138,Gentiana triflora Pallas,64,Gentiana-triflora-Ref-2,64,Gentiana-triflora-Ref-2,"Hoshi N et al., Res Bull Iwate Res Ctr 11: 17-33 (2011)",,,,,,,,,,,,,,,,,,,,
138,Gentiana triflora Pallas,65,Gentiana-triflora-Ref-3,65,Gentiana-triflora-Ref-3,"Hosokawa K et al., Plant Cell Reports 15: 578-581 (1996)","Several culture conditions were examined for promoting efficient plant regeneration from explants of Gentiana. Adventitious shoot regeneration from leaf explants of cv.WSP-3 was very superior on MS medium, compared to B5medium, supplemented with four cytokinins (TDZ, 4PU-30,BA and zeatin). An auxin / cytokinin combination was required for regeneration. TDZ was the most effective cytokinin, while NAA was more effective than IAA or 2,4-D.Optimum conditions for regeneration from explants (leaf,stem and root) of cv. WSP-3, evaluated in terms of regeneration frequency and number of regenerated shoots per explant, were TDZ and NAA in combination, 5 - 10 mg/1 and 0.1 mg/l for leaf and stem explants, and 10 mg/l and 1 mg/l for root explants, respectively. Application of these conditions to eight other commercial cultivars resulted in 30-100% regeneration from leaf explants. The number of chromosomes in each of ten regenerated plants of each cultivar was diploid, 2n=26. Shoots regenerated in vitro were rooted in phytohormone-free medium and transferred to soil.","Adventitious shoot regeneration from leaf, stem and root explants","Seeds of five Gentiana triflora cultivars (F1 hybrid) Homoi, Ihatovo, Iwate, lwate-otome and Maciry; an interspecific hybrid cultivar (F1 hybrid, G. triflora x G. scabra ) Albireo; and three in vitro shoot cultures of interspecific hybrid cultivars (clonal variety, G. triflora x G. scabra) H-3, Polarno white and WSP-3, were obtained from Iwate Horticullural Experiment Station. The in vitro shoot culture of cv. WSP-3 was used mainly to establish optimal conditions for adventitious shoot regeneration","Seeds, leaf (approximately 5 mm square), stem and root explants (approximately 5 mm in length) from in vitro cultures from the seedling or shoot cultures",Seeds were surface-disinfected with 1% sodium hypochlorite solution for 5 min followed by two rinsings in sterilized distilled water. The disinfected seeds were germinated on MS medium supplemented with 30 g/l sucrose and 2 g/l gellan gum. All axillary buds were cultured on the same medium. Plantlets from the seedlings or in vitro shoot cultures were routinely subcultured at 20℃ for 16 h daytime under fluorescent lamps (50 µmol m-2 s-l). Subcultures were made once every two months by transferring terminal and lateral cuttings into the same medium.,"Adventitious shoot regeneration from leaf explants of cv.WSP-3 was more frequent on MS medium than B5 medium in all cases. TDZ (1-10 mg/L) in combination with NAA (0.1 mg/L) proved to be optimal for regeneration, followed by 4PU-30, BA and zeatin. The presence of an auxin was required, as no regeneration was obtained with cytokinin alone. In order to establish optimum conditions for regeneration, TDZ was used in combination with three auxins. NAA was the most effective for regeneration from leaf explants at 0.1 mg/L when combined with 5-10 mg/L TDZ (regeneration frequency, 100%). Although 100% regeneration frequency was also attained on MS medium containing 20 mg/L TDZ along with 0.1 mg/L NAA and 1 mg/L IAA, some of the shoots were vitreous, which hindered subsequent rooting and acclimation. 2,4-D was the least suitable. Regeneration from stem and root explants was greatest at 5-10 mg/L TDZ in combination with 0.1 mg/L NAA, and at 10 mg/L TDZ in combination with 1 mg/L NAA, respectively. For root explants, only five adventitious shoots per explant were formed which is less than under the optimum conditions for leaf and stem explants. Leaf and stem explants were found to be most suitable for shoot regeneration. Adventitious shoot regeneration from the leaf explants of nine commercial cultivars on MS medium containing TDZ and NAA was assessed. Cultivars Albireo, H3, Polarno white and WSP-3 that were bred from G. scabra as pollen parents showed higher regeneration (80 and 100%), whereas G. triflora cultivars Homo• Ihatovo, Iwate, Iwate-otome and Maciry showed less regeneration (30 to 75%). A comparison of mean numbers of regenerated shoots indicated cv. WSP-3 and Polarno white to have the highest value for this parameter (8-10 shoots per explant).","Regenerated shoots were transferred to MS medium containing 30 g/L sucrose and 2 g/L gellan gum for rooting. Shoots produced in culture were easily rooted in phytohormone-free medium in four weeks, and then acclimatized.",The regenerated plants with a well-established root system were carefully rinsed to remove gellan gum and transferred to pots containing vermiculite. Plants in the pots were then transferred to a greenhouse following completion of acclimatization.,,,"Each of twenty regenerated plants grown in a greenhouse were phenotypically normal with respect to leaf shape and growth features during early growth stages. The number of chromosomes was counted in the root tip cells of ten regenerated plants of each cultivar, and was found to be 2n=26, which corresponds to the diploid number for the species.",,,,"G. triflora, interspecific hybrid of G. triflora × G. scabra",,,,,
17,Glycyrrhiza glabra Linne,7,Glycyrrhiza_glabra-Ref-1,7,Glycyrrhiza_glabra-Ref-1,"Kohjyouma M et al., Plant Tissue Culture Letters 12: 145-149 (1995)","Stem segments with axillary buds of Glycyrrhiza glabra L. were cultured on modified MS medium supplemented with a-naphthalene acetic acid (NAA) and 6-benzylaminopurine (BAP). Formation of multiple shoots was obtained on the medium provided with 1.00 mg/l BAP after 40 days of culture. Each shoot was cut and transplanted onto the medium supplemented with NAA and BAP. After 80 days of culture, the rooting of shoots was well established in the media containing 0.01-0.50 mg/l NAA and these shoots subsequently developed into whole plants.",Establishment of a rapid in vitro propagation method for Glycyrrhiza glabra,"Glycyrrhiza glabra L. plant cultivated at Kumano Medicinal Plants Garden of Saraya Co., Ltd.","The subterranean stems of Glycyrrhiza glabra were cut into the 15-20 cm lengths. They were washed with tap water for 1-2hr and soaked in 5% calcium hypochlorite solution for 10 min. They were transplanted to vermiculite, and cultivated in a growth chamber at 25 ± 2℃ in continuous light of fluorescent lamps (about 3,000 lux). After one month of cultivation, the 15-20 cm shoots growing in the pots were divided into 5 cm long segments with a few axillary buds.","Shoots (15-20 cm in length) were washed with tap water for 1 hr, surface sterilized with 1% sodium hypochlorite solution with a drop of Tween 20 (1 drop/50 ml) for 5 min., and then rinsed with sterile water 3 times. They were cut into 1 cm long segments each containing one axillary bud using sterilized scissors. The sterilized segments were cultured in 16 kinds of modified Murashige and Skoog media which organic components were changed to one of Gamborg B5 medium, each containing both NAA at concentrations 0, 0.04, 0.20, l.00 mg/l and BAP at concentrations 0, 0.2, 1.0，5.0 mg/l. All basal media were provided with 3% sucrose and solidified with 0.8% agar. They were statically cultured in bottles (180 ml) containing about 30 ml medium adjusted to pH 5.5 before autoclaving. The culture bottles were covered with alminium sheets and exposed to light for 16 hr (3, 000 lux at 25±2℃) . After 40 days of culture, morphogenetic changes were observed. The media containing BAP without NAA were effective in the formation of multiple shoots. These shoots were abnormally shaped compared to the mother plant. Calli formation was mainly observed on the media provided with 5.0 mg/l BAP with 0.04-0.20 mg/l NAA or without NAA.","The effect of BAP on shoot formation was tested with adding various concentrations of BAP (0.25, 0.50, 1.00, 2.00 mg/l) to the basal medium. 50 days after culture initiation, the number of shoots (more than 1 cm in length) per explant was recorded for each culture. The highest number of shoots, 4. 6 per explant, was obtained on the medium with 1.00 mg/l BAP. Therefore this concentration of BAP was selected as a best condition for the formation of multiple shoots for use in the following experiment.","After 40 days of primary culture, the newly-formed multiple shoots were cut into individual shoots, and transferred onto fresh rooting media supplemented with various combinations of NAA (0.05, 0.10, 0.50 mg/l) and BAP (0, 0.01 mg/l). When the shoots were cultured in the rooting media for 40 days, they were transferred onto the same type of fresh media (50 ml) solidified with 0.6% agar in Erlenmeyer flasks (500 ml). When the newly formed shoots were transferred to the rooting media for 80 days, root initiation and shoot elongation were observed. The highest frequency of root formation was obtained on the medium with 0.05-0.10 mg/l NAA. In this condition, development of the shoots and length and number of leaves were as in a normal plants. The addition of BAP did not increase root formation.",The plantlets developed on the rooting medium were rinsed with water and transplanted into pots with vermiculite and covered with a plastic film to maintain high humidity.,The plantlets were grown in a greenhouse.,,,,,,,,,,,
17,Glycyrrhiza glabra Linne,8,Glycyrrhiza_glabra-Ref-2,8,Glycyrrhiza_glabra-Ref-2,"Patel RM and Shah RR, Journal of Herbal Medicine and Toxicology 1: 27-29 (2007)","In vitro regeneration was achieved in liquorice using nodal segments as an explants. The establishment of explants was noticed satisfactorily in all the treatments. However, it was recorded cent per cent on MS medium supplemented with BAP (0.5 mg/l) and NAA (0.05 mg/l). Earlier sprouting of explants as well as maximum length of shoot and number of nodes/shoot were reported on MS medium fortified with 1.0 mg/l BAP and 0.05 mg/l NAA. On other hand, maximum number of shoots/explant was produced on MS medium containing higher BAP (2.0 mg/l) level combined with NAA (0.05 mg/l). In vitro rooting was found better on full strength MS medium supplemented with IBA (0.5 - 1.0 mg/l). Maximum number of root and length of shoot were noticed in 0.5 mg/l IBA treatment. Further, rooted plantlets were hardened better in soil + leaf mould medium (1:1, v/v) and 72 per cent survival rate was obtained in this potting mixture. The technique developed may be utilized efficiently for producing true type and disease free planting materials during any time of the year.",Standardization of the technique for rapid in vitro clonal propagation of liquorice to obtain true to type planting materials in large quantity,Glycyrrhiza glabra,Nodal segments,"The explants (nodal segments) were washed thoroughly in running tape water for about 30 minutes and then cleaned with 10 per cent solution of detergent for 5 minutes. After rinsing thoroughly with double distilled water, the explants were surfaced sterilized by treating them with 0.1 per cent mercuric chloride solution for 3 minutes under aseptic condition in a laminar air flow cabinet. The traces of mercuric chloride were thoroughly washed with sterile double distilled water. Further, explants were trimmed of to the size of about 1.0 cm. Then, explants were quickly inoculated on MS medium supplemented with 30g/l sucrose, hormones and gelled with 8 g/l agar. The culture was incubated at 25 ± 2℃ temperature with 1000 lux light intensity from fluorescence cool tube light in culture room for 16 h. The establishment of explants varies from 72 % to 100 %. Cent per cent establishment was recorded on MS medium fortified with BAP (0.5 mg/l) + NAA (0.05 mg/l) treatment, which was reported superior among all the treatments. Buds sprouted within 4 days of inoculation on BAP treatments up to 1.0 mg/l, whereas, it took 7 days on higher BAP level. Though higher BAP (2.0 mg/l) supported significantly maximum number of shoots per explant, length of shoot and number of nodes per shoot was the lowest in this treatment. However, which were found significantly higher on MS medium fortified with BAP (1.0 mg/l) + NAA (0.05 mg/l) treatment.","The established explants were recultured on the same medium for 4 weeks for further multiplication. Treatment BAP 0.5 mg/l in combination with NAA 0.05 mg/l was found statistically superior among all the treatments, which showed maximum multiplication rate as well as length of the shoot.","The regenerated shoots were excised and transferred to rooting medium (different levels of IBA supplemented on half MS and full strength MS medium and cultured for 3 weeks. Rooting was significantly influenced by strength of medium and different levels of IBA. Rooting response on full strength MS supplemented with 0.5 to 1.0 mg/l IBA was found to be better than other treatments. Maximum rooting percentage, number of roots/plant and length of shoot (cm) were registered on full strength MS supplemented with 0.5 mg/l IBA. There was no rooting response recorded at higher levels (0.5 and 1.0 mg/l) of IBA on half strength MS medium. The trend was reverse on full strength MS medium; no rooting response was being observed at lower level of IBA.","Rooted plantlets were hardened and raised in polybags. Survival of the plantlets was significantly influenced by different potting mixtures. Among the various potting mixtures tested, soil + leaf mould medium (1:1, v/v) was found to be the best with 72% survival of the plantlets.",,,,,,,,,,,,
16,Glycyrrhiza uralensis Fisher,4,Glycyrrhiza_uralensis-Ref-1,4,Glycyrrhiza_uralensis-Ref-1,"Kusano G et al., Natural Medicines 54: 199-203 (2000)","A strain of Glycyrrhiza uralensis, which was almost dying in the garden of Kanzo Yashiki (Enzan city, Yamanashi Prefecture) in the summer of 1992, was revived by stopping the growing with Kiwi vine (Ac tinidia chinesis ), by implantation of the stolon, and by node culture of the meristem tissue of buds","Characterization and propagation of Glycyrrhiza uralensis which had beed recorded its cultivation in Enzan city, Yamanasi prefecture since 1720.","1990年に甘草屋敷（山梨県塩山市上於曽）のキウイ畑に生えていたのが確認されたウラルカンゾウ． A strain of Glycyrrhiza uralensis, which was conformed its survival in the garden of Kanzo Yashiki (Enzan city, Yamanashi Prefecture) in the summer of 1992.",Shoots,"Shoot-tips were axenically excised under binocular microscope, inoculated on 1/3 macro salts concentration Murashige and Shoog (MS) medium supplemented with IAA 0.1 mg/l and Zeatin 0.3 mg/l（solidified with gelrite） and cultured at 25℃．",Nodal segments excised from the initial shoot with 3-5 leaves were placed on 1/3 MS medium supplemented with IAA 0.1 mg/l and Zeatin 0.3 mg/l and cultured at 25℃． The plants were propagated by repeated subculture with the same cultural conditions.,"For rooting, the developed shoots with 5-6 leaves were cultured on 1/3 MS with IBA 0.1 mg/l．",Acclimatization in greenhouse,In vitro plantlet was transplated onto a pot filled with vermiculite and grewn in the greenhous. They were transplanted in to the field in autum and cultivated for 2 year.,,The glycyrrhizin concentration in the underground part of the field-cultivated plants for two year was 2.81%. 圃場移植後2年間栽培した再生植物体の地下部のグリチルリチン含量は，2.81%．,Glycyrrhizin,"After harvest of the plants, dried (at 50℃ until constant weight) and powdered glycyrrhiza was accurately weighed at 50 mg, added with 10 ml 50% ethanol containing 0.01 mg/ml p-hydroxybenzoic acid n-propyl ester as an internal standard, extracted for 20 minutes with ultrasonic. 0.45 µl of the filtered extract sulution was used as a HPLC sample.",HPLC conditions：column Crestpak C18T(i.d. 4.6 mm x 250 mm; mobile phase acetic acid water (1→15)：acetonitrile=3:2；Flow rate 0.6 ml/min; temperature 40℃; detection UV 254 nm; injection volume 20µl． Glycyrrhizin standard was purchased by Nacalai tesque. Mean value of 3 measurements was calculated.,,,,,,
